# C1[F/m] Ceq[F/m]
8.32493e-11 1.26776e-11
6.58305e-11 1.24313e-11
8.45581e-11 1.26924e-11
5.50265e-11 1.22122e-11
3.92044e-11 1.17177e-11
2.81471e-11 1.11286e-11
1.58923e-11 9.88785e-12
8.67285e-11 1.27162e-11
7.41066e-11 1.2561e-11
2.28041e-11 1.07016e-11
7.15128e-11 1.25232e-11
1.61276e-11 9.92263e-12
3.81717e-11 1.16741e-11
6.38261e-11 1.23955e-11
4.301e-11 1.18636e-11
4.97387e-11 1.2076e-11
5.0746e-11 1.21038e-11
3.57022e-11 1.15619e-11
7.79129e-11 1.26125e-11
1.00726e-10 1.28469e-11
9.9658e-11 1.28381e-11
3.83442e-11 1.16815e-11
1.07061e-12 4.71707e-12
9.4679e-11 1.27947e-11
8.59275e-11 1.27075e-11
1.57977e-11 9.87369e-12
6.11217e-11 1.2344e-11
2.09106e-12 5.47943e-12
1.22603e-11 9.25769e-12
1.58788e-11 9.88583e-12
4.10408e-11 1.17908e-11
4.71666e-11 1.20007e-11
6.40692e-11 1.23999e-11
4.03789e-11 1.1765e-11
5.98351e-11 1.23181e-11
3.35222e-11 1.14523e-11
4.2807e-11 1.18563e-11
3.40212e-11 1.14784e-11
5.26858e-11 1.21547e-11
7.9574e-11 1.26336e-11
7.17835e-11 1.25273e-11
7.05402e-11 1.25084e-11
5.58291e-11 1.22309e-11
7.20203e-11 1.25308e-11
3.22513e-11 1.13832e-11
1.315e-11 9.43035e-12
7.80125e-11 1.26138e-11
1.35795e-12 4.9456e-12
8.63086e-11 1.27117e-11
6.15615e-11 1.23526e-11
3.02944e-11 1.12683e-11
5.19505e-11 1.21358e-11
1.75472e-11 1.01199e-11
8.50087e-12 8.34485e-12
8.90159e-11 1.27401e-11
9.48724e-11 1.27965e-11
8.24371e-11 1.26682e-11
1.84544e-11 1.02356e-11
5.1313e-11 1.2119e-11
1.49344e-11 9.73948e-12
2.3917e-11 1.08016e-11
1.50385e-11 9.75615e-12
9.59939e-11 1.28065e-11
5.49703e-11 1.22108e-11
6.54433e-11 1.24245e-11
9.65839e-11 1.28118e-11
8.64461e-11 1.27132e-11
6.10894e-11 1.23433e-11
4.23652e-11 1.18403e-11
4.63673e-11 1.19759e-11
5.63149e-12 7.35266e-12
1.6088e-11 9.91681e-12
3.45826e-11 1.1507e-11
1.82238e-11 1.02069e-11
9.21962e-11 1.27715e-11
3.71822e-11 1.16306e-11
5.46332e-11 1.22028e-11
8.82452e-12 8.43778e-12
5.91864e-12 7.46806e-12
8.01932e-11 1.26413e-11
3.20404e-11 1.13713e-11
6.99815e-11 1.24997e-11
7.0633e-11 1.25098e-11
1.0953e-12 4.73718e-12
5.53782e-11 1.22204e-11
6.2563e-11 1.23719e-11
3.32848e-11 1.14397e-11
9.5822e-11 1.2805e-11
1.00157e-10 1.28422e-11
4.93087e-11 1.20639e-11
3.83636e-11 1.16823e-11
5.16738e-11 1.21286e-11
6.66946e-11 1.24461e-11
2.82929e-11 1.11385e-11
4.98385e-11 1.20788e-11
9.41442e-11 1.27898e-11
1.21964e-11 9.24476e-12
3.31724e-11 1.14337e-11
9.10904e-11 1.27608e-11
2.22287e-11 1.06472e-11
8.04626e-11 1.26446e-11
2.66515e-11 1.10216e-11
2.27206e-11 1.06938e-11
2.28794e-11 1.07086e-11
6.2112e-11 1.23633e-11
5.50785e-11 1.22134e-11
5.74201e-11 1.22668e-11
5.49214e-11 1.22097e-11
8.4146e-11 1.26878e-11
5.01929e-11 1.20887e-11
7.99763e-11 1.26386e-11
6.17405e-11 1.23561e-11
6.84243e-11 1.24749e-11
1.74382e-11 1.01054e-11
2.17205e-11 1.05975e-11
5.59654e-11 1.22341e-11
2.00044e-12 5.41697e-12
8.14309e-12 8.23826e-12
9.67901e-11 1.28136e-11
5.08343e-11 1.21062e-11
2.16844e-11 1.05939e-11
8.51981e-11 1.26996e-11
7.43239e-11 1.25641e-11
8.26982e-11 1.26712e-11
1.73469e-11 1.00933e-11
4.0031e-11 1.17512e-11
1.83975e-11 1.02286e-11
8.33823e-11 1.26791e-11
7.21067e-11 1.25321e-11
2.73033e-11 1.10693e-11
6.31167e-11 1.23823e-11
7.91245e-12 8.16729e-12
1.00177e-10 1.28424e-11
2.35373e-11 1.07682e-11
6.02358e-12 7.5092e-12
8.70116e-12 8.40274e-12
3.68443e-11 1.16153e-11
1.12743e-11 9.04949e-12
5.12531e-11 1.21174e-11
5.68059e-11 1.22531e-11
8.61539e-11 1.271e-11
8.15719e-11 1.2658e-11
5.59577e-11 1.22339e-11
6.11601e-11 1.23447e-11
3.23728e-11 1.139e-11
2.42666e-11 1.08317e-11
7.31274e-11 1.2547e-11
1.2735e-12 4.87964e-12
6.03037e-11 1.23276e-11
3.07304e-11 1.12948e-11
7.804e-11 1.26142e-11
5.39851e-11 1.21871e-11
4.20236e-11 1.18278e-11
1.55341e-11 9.83366e-12
5.63261e-11 1.22423e-11
1.47632e-11 9.71176e-12
2.26325e-11 1.06856e-11
6.77196e-11 1.24633e-11
7.12747e-11 1.25196e-11
4.12772e-12 6.67172e-12
4.54336e-11 1.1946e-11
5.04754e-11 1.20964e-11
7.91454e-11 1.26282e-11
6.54746e-11 1.24251e-11
3.83782e-11 1.1683e-11
8.56575e-11 1.27046e-11
4.52383e-11 1.19397e-11
5.45807e-11 1.22015e-11
2.16164e-11 1.05871e-11
1.83509e-11 1.02228e-11
6.29312e-12 7.61244e-12
